Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
223316,National authorities,30.13417,91.35568,Asia,China,Xizang Zizhiqu,Xizang Zizhiqu,Centroid Admin2,15/07/2016,31/10/2016,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,1,,,,,,,
223314,National authorities,23.60237,104.87042,Asia,China,Yunnan Sheng,Yunnan Sheng,Centroid Admin2,15/07/2016,31/10/2016,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,1,,,,,,,
223311,National authorities,23.60456,102.95693,Asia,China,Yunnan Sheng,Yunnan Sheng,Centroid Admin2,15/07/2016,31/10/2016,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,1,,,,,,,
223309,National authorities,24.15151,102.2319,Asia,China,Yunnan Sheng,Yunnan Sheng,Centroid Admin2,15/07/2016,31/10/2016,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,1,,,,,,,
223269,National authorities,31.83373,116.32334,Asia,China,Anhui Sheng,Anhui Sheng,Centroid Admin2,15/07/2016,31/10/2016,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken",,2,,,,,,,
223261,National authorities,31.56883,120.34412,Asia,China,Jiangsu Sheng,Jiangsu Sheng,Centroid Admin2,15/07/2016,31/10/2016,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,1,,,,,,,
223258,National authorities,32.20714,120.85086,Asia,China,Jiangsu Sheng,Jiangsu Sheng,Centroid Admin2,15/07/2016,31/10/2016,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,1,,,,,,,
223256,National authorities,37.74117,115.87669,Asia,China,Hebei Sheng,Hebei Sheng,Centroid Admin2,15/07/2016,31/10/2016,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken, domestic, duck, domestic, goose",,3,,,,,,,
215431,National authorities,25.68923,99.93993,Asia,China,Yunnan Sheng,Yunnan Sheng,Centroid Admin2,15/12/2015,15/01/2016,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken, domestic, duck",,3,,,,,0,,
215375,National authorities,31.83373,116.32334,Asia,China,Anhui Sheng,Anhui Sheng,Centroid Admin2,15/12/2015,15/01/2016,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,1,,,,,,,
209878,OIE,26.12,105.28,Asia,China,Guizhou Sheng,Farm,Exact,11/01/2016,22/01/2016,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",35397,5869,5617,29528,0,,,,
209698,National authorities,30.6854,103.9929,Asia,China,Sichuan Sheng,Moushe Zone,Exact,27/12/2015,14/01/2016,Confirmed,Influenza - Avian,H5N1 HPAI,,,,,,,,,1,
208415,National authorities,38.902123,106.544037,Asia,China,Ningxia Huizu Zizhiqu,Qianjinxilu,Exact,30/06/2015,12/11/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,1,,,,,,,
208409,National authorities,26.566917,106.712907,Asia,China,Guizhou Sheng,Xinlukou Market,Exact,30/06/2015,12/11/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,1,,,,,,,
208408,National authorities,26.563952,106.716257,Asia,China,Guizhou Sheng,Duoyouduo Fair Trade Market,Exact,30/06/2015,12/11/2015,Confirmed,Influenza - Avian,"H5N1 HPAI, H5N2 HPAI","domestic, chicken, domestic, duck",,3,,,,,,,
208407,National authorities,26.583448,106.694752,Asia,China,Guizhou Sheng,Huangjinlu Fair Trade Market,Exact,30/06/2015,12/11/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, goose",,1,,,,,,,
208406,National authorities,26.56313,106.692904,Asia,China,Guizhou Sheng,Xiangyayuan Market,Exact,30/06/2015,12/11/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, goose",,2,,,,,,,
208385,National authorities,28.910376,111.970227,Asia,China,Hunan Sheng,Hanshou County,Exact,30/06/2015,12/11/2015,Confirmed,Influenza - Avian,"H5N6 HPAI, H5N2 HPAI, H5N1 HPAI","domestic, duck, domestic, chicken",,3,,,,,,,
208367,National authorities,32.893568,117.326141,Asia,China,Anhui Sheng,Chengnan market,Exact,30/06/2015,12/11/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,1,,,,,,,
208349,National authorities,29.647562,91.073396,Asia,China,Xizang Zizhiqu,Bayi Market,Exact,30/09/2014,09/11/2015,Confirmed,Influenza - Avian,"H5N6 HPAI, H5N1 HPAI","domestic, chicken, domestic, duck",,2,,,,,,,
208321,National authorities,36.620345,101.786381,Asia,China,Qinghai Sheng,Mojiajie Market,Exact,30/09/2014,09/11/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,1,,,,,,,
208319,National authorities,23.133,106.413446,Asia,China,Guangxi Zhuangzu Zizhiqu,Jingxi Market,Exact,30/09/2014,09/11/2015,Confirmed,Influenza - Avian,"H5N6 HPAI, H5N1 HPAI, H5N2 HPAI","domestic, duck, domestic, goose",,4,,,,,,,
208317,National authorities,22.112802,106.757995,Asia,China,Guangxi Zhuangzu Zizhiqu,Yinxing Market,Exact,30/09/2014,09/11/2015,Confirmed,Influenza - Avian,"H5N1 HPAI, H5N6 HPAI","domestic, duck, domestic, chicken",,3,,,,,,,
208316,National authorities,21.546324,107.972194,Asia,China,Guangxi Zhuangzu Zizhiqu,Dongxing shi,Exact,30/09/2014,09/11/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,1,,,,,,,
208315,National authorities,21.543681,107.970399,Asia,China,Guangxi Zhuangzu Zizhiqu,International Trade Market,Exact,30/09/2014,09/11/2015,Confirmed,Influenza - Avian,"H5N1 HPAI, H5N6 HPAI","domestic, duck, domestic, goose",,2,,,,,,,
208313,National authorities,25.586329,100.228791,Asia,China,Yunnan Sheng,Taixing Market,Exact,30/09/2014,09/11/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,1,,,,,,,
208292,National authorities,25.049037,102.795174,Asia,China,Yunnan Sheng,Qinglong cun,Exact,30/09/2014,09/11/2015,Confirmed,Influenza - Avian,"H5N6 HPAI, H5N1 HPAI","domestic, duck, domestic, chicken",,2,,,,,,,
208288,National authorities,26.246969,105.947195,Asia,China,Guizhou Sheng,Dongfang Market,Exact,30/09/2014,09/11/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,1,,,,,,,
208287,National authorities,26.246487,105.928332,Asia,China,Guizhou Sheng,Weststreet great Market,Exact,30/09/2014,09/11/2015,Confirmed,Influenza - Avian,"H5N6 HPAI, H5N1 HPAI","domestic, chicken, domestic, duck",,2,,,,,,,
208286,National authorities,23.361785,113.202325,Asia,China,Guangdong Sheng,Jixing Market,Exact,30/09/2014,09/11/2015,Confirmed,Influenza - Avian,"H5N6 HPAI, H5N1 HPAI","domestic, chicken, domestic, duck, domestic, goose",,3,,,,,,,
208283,National authorities,22.299437,113.487489,Asia,China,Guangdong Sheng,Heping Market,Exact,30/09/2014,09/11/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, goose",,1,,,,,,,
208277,National authorities,28.843217,112.352286,Asia,China,Hunan Sheng,Yuanjiang,Exact,30/09/2014,09/11/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,1,,,,,,,
208276,National authorities,28.151124,113.010835,Asia,China,Hunan Sheng,Shima Market,Exact,30/09/2014,09/11/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,1,,,,,,,
208267,National authorities,31.4738,119.5026,Asia,China,Jiangsu Sheng,Zouqu Zhen,Exact,30/09/2014,09/11/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,1,,,,,,,
208255,National authorities,29.652445,91.122952,Asia,China,Xizang Zizhiqu,Yaowangshan Market,Exact,31/12/2014,02/11/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,1,,,,,,,
208254,National authorities,29.647562,91.073396,Asia,China,Xizang Zizhiqu,Bayi Market,Exact,31/12/2014,02/11/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,1,,,,,,,
208253,National authorities,29.647562,91.073396,Asia,China,Xizang Zizhiqu,Bayi Market,Exact,31/12/2014,02/11/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,1,,,,,,,
208252,National authorities,29.657618,91.135096,Asia,China,Xizang Zizhiqu,Meteorological Bureau Agricultural Products Market,Exact,31/12/2014,02/11/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,1,,,,,,,
208251,National authorities,29.647039,91.14479,Asia,China,Xizang Zizhiqu,Hebalin Market,Exact,31/12/2014,02/11/2015,Confirmed,Influenza - Avian,"H5N2 HPAI, H5N1 HPAI","domestic, duck, domestic, chicken",,3,,,,,,,
208172,National authorities,31.37,118.3925,Asia,China,Anhui Sheng,Wuhu,Exact,31/12/2014,02/11/2015,Confirmed,Influenza - Avian,"H5N8 HPAI, H5N1 HPAI, H5N6 HPAI","domestic, duck, domestic, duck, domestic, goose",,2,,,,,,,
208127,National authorities,31.262838,120.621602,Asia,China,Jiangsu Sheng,Xinlong  Market,Exact,31/12/2014,02/11/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,1,,,,,,,
208119,National authorities,33.006906,118.493708,Asia,China,Jiangsu Sheng,Moutain city market,Exact,31/12/2014,02/11/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,1,,,,,,,
205830,National authorities,37.01,99.43,Asia,China,Qinghai Sheng,"Qinghai county township, Hai Hainan prefecture",Exact,09/07/2015,17/07/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"wild, great black-headed gull",,2361,2361,0,0,,,,
205056,National authorities,31.47,92.05,Asia,China,Xizang Zizhiqu,"Gá lóng cuò bird Island and lake district, Amdo County",Unknown,11/05/2015,29/05/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"wild, bar-headed goose, wild, brown-headed gull, wild, unspecified bird",,415,415,,,,,,
205055,National authorities,43.29,112.52,Asia,China,Nei Mongol Zizhiqu,"Shuangheer wetland, Kezuohouqi",Unknown,11/05/2015,29/05/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"wild, grebe",,,300,0,,,,,
205044,OIE,25.83,107.53,Asia,China,Guizhou Sheng,"Farm, Dushan, Qiannan state",Unknown,09/06/2015,19/06/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",12554,4615,3800,8754,,,,,
205043,OIE,31.72,119.93,Asia,China,Jiangsu Sheng,"Wujin, Changzhou",Unknown,07/06/2015,19/06/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",2349,2149,1858,491,,,,,
201802,National authorities,25.049525,101.527748,Asia,China,Yunnan Sheng,Chuxiong,Unknown,23/03/2015,03/04/2015,Confirmed,Influenza - Avian,H5N1 HPAI,,,,,,,,,1,
201593,National authorities,24.903876,102.826538,Asia,China,Yunnan Sheng,Kunming,Unknown,13/03/2015,25/03/2015,Confirmed,Influenza - Avian,H5N1 HPAI,,,,,,,,,1,
201558,National authorities,24.903876,102.826538,Asia,China,Yunnan Sheng,Kunming,Unknown,13/03/2015,23/03/2015,Confirmed,Influenza - Avian,H5N1 HPAI,,,,,,,,,1,
201376,National authorities,30.881012,105.393219,Asia,China,Sichuan Sheng,"Shehong County, Suining City",Unknown,01/03/2015,13/03/2015,Confirmed,Influenza - Avian,H5N1 HPAI,,,,,,,,,1,1
200536,National authorities,29.3411819,90.766468,Asia,China,Xizang Zizhiqu,Lhasa City,Centroid Admin2,31/12/2014,26/02/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken",,,,,,,,,
200313,National authorities,22.83,108.26,Asia,China,Guangxi Zhuangzu Zizhiqu,Guangxzi Province Nanning City zoo,Unknown,05/02/2015,12/02/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"captive, tiger",8,2,2,,,,,,
199326,National authorities,31.299675,120.585938,Asia,China,Jiangsu Sheng,Suzhou,Unknown,14/01/2015,28/01/2015,Confirmed,Influenza - Avian,H5N1 HPAI,,,,,,,,,1,
198875,OIE,34.46,111.11,Asia,China,Henan Sheng,"Yellow River Wetland, Sanmenxia ",Unknown,14/01/2015,16/01/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"wild, pochard, wild, swan, wild, greater scaup",,93,93,,,,,,
198681,OIE,29.12,115.46,Asia,China,Jiangxi Sheng,"Farm, Jiangyi, Gongqingcheng",Unknown,05/01/2015,09/01/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",20483,2371,2371,18112,,,,,
194203,OIE,25.04,102.79,Asia,China,Yunnan Sheng,"Qinglong village live bird market, Kunming",Unknown,12/09/2014,24/10/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,1,0,0,,,,,
194202,OIE,26.25,105.92,Asia,China,Guizhou Sheng,"West Street Market, Anshun",Unknown,12/09/2014,24/10/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,1,0,0,,,,,
194201,OIE,31.72,119.93,Asia,China,Jiangsu Sheng,"Luoyang agriculture trade market, Changzhou",Unknown,12/09/2014,24/10/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, unspecified bird",,2,0,0,,,,,
194200,OIE,22.08,106.83,Asia,China,Guangxi Zhuangzu Zizhiqu,"Yinxing agriculture trade market, Chongzuo",Unknown,12/09/2014,24/10/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,1,0,0,,,,,
194199,OIE,21.62,108.05,Asia,China,Guangxi Zhuangzu Zizhiqu,"Guomao Market, Fangchenggang",Unknown,12/09/2014,24/10/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,1,0,0,,,,,
194198,OIE,29.64,91.07,Asia,China,Xizang Zizhiqu,"Bayi market, Lasa",Unknown,12/09/2014,24/10/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,1,0,0,,,,,
194197,OIE,32.1,118.76,Asia,China,Jiangsu Sheng,"Taixing market, Dali",Unknown,12/09/2014,24/10/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,1,0,0,,,,,
194196,OIE,23.36,113.2,Asia,China,Guangdong Sheng,"Jixing live bird market, Huadu District, Guangzhou",Unknown,12/09/2014,24/10/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,1,0,0,,,,,
194195,OIE,36.6,101.77,Asia,China,Qinghai Sheng,"Mojia street agriculture trade market, Xining",Unknown,12/09/2014,24/10/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,1,0,0,,,,,
194194,OIE,22.26,113.52,Asia,China,Guangdong Sheng,"Heping sanniao wholesale market, Zhuhai",Unknown,12/09/2014,24/10/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, goose",,1,0,0,,,,,
194193,OIE,28.85,112.38,Asia,China,Hunan Sheng,"Xiangbei market, Yiyang",Unknown,12/09/2014,24/10/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,1,0,0,,,,,
194192,OIE,23.14,106.31,Asia,China,Guangxi Zhuangzu Zizhiqu,"Agriculture trade market, Jingxi, Baise",Unknown,12/09/2014,24/10/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,1,0,0,,,,,
194191,OIE,26.25,105.94,Asia,China,Guizhou Sheng,"Dongfang market, Anshun",Unknown,12/09/2014,24/10/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,1,0,0,,,,,
194190,OIE,24.14,112.94,Asia,China,Guangdong Sheng,"Shima live bird market, changsha",Unknown,12/09/2014,24/10/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,1,0,0,,,,,
194189,OIE,28.19,113.01,Asia,China,Hunan Sheng,"Yangjiashan livebird market, Changsha",Unknown,12/09/2014,24/10/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken",,2,0,0,,,,,
194188,OIE,21.62,108.06,Asia,China,Guangxi Zhuangzu Zizhiqu,"Zhupai village, Dongxing, Fangchenggang",Unknown,12/09/2014,24/10/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,1,0,0,,,,,
183399,National authorities,41.727768,86.174011,Asia,China,Xinjiang Uygur Zizhiqu,Korla,Centroid Admin1,31/12/2013,18/02/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, goose",,2,,,,,,,
183398,National authorities,26.646768,106.622658,Asia,China,Guizhou Sheng,Guiyang,Centroid Admin1,31/12/2013,18/02/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken",,4,,,,,,,
183397,National authorities,27.726691,106.926498,Asia,China,Guizhou Sheng,Zunyi,Centroid Admin1,31/12/2013,18/02/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, pigeon",,2,,,,,,,
183396,National authorities,29.503561,106.512451,Asia,China,Chongqing Shi,Jiulongpo District,Centroid Admin1,31/12/2013,18/02/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,1,,,,,,,
183395,National authorities,22.091366,106.76445,Asia,China,Guangxi Zhuangzu Zizhiqu,Pingxiang,Centroid Admin1,31/12/2013,18/02/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, goose",,2,,,,,,,
183394,National authorities,21.686941,108.353262,Asia,China,Guangxi Zhuangzu Zizhiqu,Fangchenggang,Centroid Admin1,31/12/2013,18/02/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken",,3,,,,,,,
183393,National authorities,22.543873,114.059801,Asia,China,Guangdong Sheng,Shenzhen,Centroid Admin1,31/12/2013,18/02/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, goose",,3,,,,,,,
183392,National authorities,23.12931,113.26458,Asia,China,Guangdong Sheng,Guangzhou,Centroid Admin1,31/12/2013,18/02/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,1,,,,,,,
183391,National authorities,24.812291,113.598976,Asia,China,Guangdong Sheng,Shaoguan,Centroid Admin1,31/12/2013,18/02/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, goose",,2,,,,,,,
183390,National authorities,28.2306,112.938766,Asia,China,Hunan Sheng,Changsha City,Centroid Admin1,31/12/2013,18/02/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken",,3,,,,,,,
183389,National authorities,29.031557,111.699028,Asia,China,Hunan Sheng,Changde City-Hanson County,Centroid Admin1,31/12/2013,18/02/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,1,,,,,,,
183388,National authorities,28.673419,112.883148,Asia,China,Hunan Sheng,City-Xiangyin County,Centroid Admin1,31/12/2013,18/02/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,1,,,,,,,
183387,National authorities,30.594183,114.299698,Asia,China,Hubei Sheng,Wuhan,Centroid Admin1,31/12/2013,18/02/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,1,,,,,,,
183386,National authorities,28.685769,115.85701,Asia,China,Jiangxi Sheng,Nanchang County,Centroid Admin1,31/12/2013,18/02/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,3,,,,,,,
183385,National authorities,25.0,118.090668,Asia,China,Fujian Sheng,Fujian Sheng,Centroid Admin1,31/12/2013,18/02/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken, domestic, duck",,2,,,,,,,
183384,National authorities,26.078371,119.294357,Asia,China,Fujian Sheng,Fuzhou,Unknown,31/12/2013,18/02/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken, domestic, duck",,2,,,,,,,
183383,National authorities,31.735175,116.521683,Asia,China,Anhui Sheng,Lu'an City,Unknown,31/12/2013,18/02/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,1,,,,,,,
183382,National authorities,32.274361,119.185181,Asia,China,Jiangsu Sheng,Yizheng,Unknown,31/12/2013,18/02/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,1,,,,,,,
183251,OIE,24.13,102.8,Asia,China,Yunnan Sheng,"Junction of three villages, Tonghai, Yuxi",Unknown,02/03/2014,07/03/2014,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",533000,29600,29600,503400,,,,,
183102,National authorities,27.398189,111.349472,Asia,China,Hunan Sheng,Hunan Sheng,Centroid Admin1,,07/03/2014,Confirmed,Influenza - Avian,H5N1 HPAI,,,,,,,,,1,
