"","Isolate_Id","PB2.Segment_Id","PB1.Segment_Id","PA.Segment_Id","HA.Segment_Id","NP.Segment_Id","NA.Segment_Id","MP.Segment_Id","NS.Segment_Id","HE.Segment_Id","P3.Segment_Id","Isolate_Name","Subtype","Lineage","Passage_History","Location","Host","Isolate_Submitter","Submitting_Lab","Submitting_Sample_Id","Authors","Publication","Originating_Lab","Originating_Sample_Id","Collection_Date","Note","Update_Date","Submission_Date","Antigen_Character","Animal_Vaccin_Product","Adamantanes_Resistance_geno","Oseltamivir_Resistance_geno","Zanamivir_Resistance_geno","Peramivir_Resistance_geno","Other_Resistance_geno","Adamantanes_Resistance_pheno","Oseltamivir_Resistance_pheno","Zanamivir_Resistance_pheno","Peramivir_Resistance_pheno","Other_Resistance_pheno","Host_Age","Host_Age_Unit","Host_Gender","Patient_Status","Zip_Code","Outbreak","Pathogen_Test_Info","Is_Vaccinated","Human_Specimen_Source","Animal_Specimen_Source","Animal_Health_Status","Domestic_Status","PMID","PB2.INSDC_Upload","PB1.INSDC_Upload","PA.INSDC_Upload","HA.INSDC_Upload","NP.INSDC_Upload","NA.INSDC_Upload","MP.INSDC_Upload","NS.INSDC_Upload","HE.INSDC_Upload","P3.INSDC_Upload","newloc","classloc"
"7","EPI_ISL_24615","EPI164314 | A/goose/Yunnan/4389/2006","EPI164315 | A/goose/Yunnan/4389/2006","EPI164316 | A/goose/Yunnan/4389/2006","EPI164317 | A/goose/Yunnan/4389/2006","EPI164318 | A/goose/Yunnan/4389/2006","EPI164319 | A/goose/Yunnan/4389/2006","EPI164320 | A/goose/Yunnan/4389/2006","EPI164321 | A/goose/Yunnan/4389/2006",NA,NA,"A/goose/Yunnan/4389/2006","A / H5N1",NA,"","Asia / China / Yunnan Province","Goose","Unknown user","Other Database Import","","","","","4389",2006,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"CY030918","CY030919","CY030920","CY030921","CY030922","CY030923","CY030924","CY030925",NA,NA,"Yunnan","SW"
"13","EPI_ISL_1909","EPI14635 | A/goose/Guangdong/3/1997","EPI14562 | A/goose/Guangdong/3/1997","EPI8833 | A/goose/Guangdong/3/1997","EPI8799 | A/goose/Guangdong/3/1997","EPI8829 | A/goose/Guangdong/3/1997","EPI8801 | A/goose/Guangdong/3/1997","EPI8610 | A/goose/Guangdong/3/1997","EPI14535 | A/goose/Guangdong/3/1997",NA,NA,"A/goose/Guangdong/3/1997","A / H5N1",NA,"","Asia / China / Guangdong Province","Goose","Unknown user","Other Database Import","","","","","3",1997,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"AY038798","AY035888","AF380163","AF364334","AF370122","AF364335","AF359560","AY028445",NA,NA,"Guangdong","PRD"
"14","EPI_ISL_1254","EPI5779 | A/Goose/Guangdong/1/96","EPI5781 | A/Goose/Guangdong/1/96","EPI5783 | A/Goose/Guangdong/1/96","EPI5797 | A/Goose/Guangdong/1/96, EPI5789 | A/Goose/Guangdong/1/96","EPI5785 | A/Goose/Guangdong/1/96","EPI5787 | A/Goose/Guangdong/1/96","EPI5791 | A/Goose/Guangdong/1/96","EPI5794 | A/Goose/Guangdong/1/96",NA,NA,"A/Goose/Guangdong/1/96","A / H5N1",NA,"","Asia / China / Guangdong Province","Goose","Unknown user","Other Database Import","","","","","1",1996,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"AF144300","AF144301","AF144302","AF148678, AF144305","AF144303","AF144304","AF144306","AF144307",NA,NA,"Guangdong","PRD"
"24","EPI_ISL_201000","EPI669773 | A/Great black-headed Gull/Qinghai/YO6/2015_H5N1 PB2","EPI669774 | A/Great black-headed Gull/Qinghai/YO6/2015_H5N1 PB1","EPI669772 | A/Great black-headed Gull/Qinghai/YO6/2015_H5N1 PA","EPI669776 | A/Great black-headed Gull/Qinghai/YO6/2015_H5N1 HA","EPI669769 | A/Great black-headed Gull/Qinghai/YO6/2015_H5N1 NP","EPI669775 | A/Great black-headed Gull/Qinghai/YO6/2015_H5N1 NA","EPI669771 | A/Great black-headed Gull/Qinghai/YO6/2015_H5N1 M","EPI669770 | A/Great black-headed Gull/Qinghai/YO6/2015_H5N1 NS",NA,NA,"A/Great black-headed Gull/Qinghai/YO6/2015_H5N1","A / H5N1",NA,"Egg1","Asia / China / Qing hai","Anser indicus","Yuhai Bi (Institute of Microbiology, Chinese Academy of Sciences)","Institute of Microbiology, Chinese Academy of Sciences","","Jianjun, Chen","","State Key Laboratory of Virology and Wuhan Institute of Virology, Chinese Academy of Sciences","",2015.531,"",2015.826,2015.826,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Qinghai","NW"
"25","EPI_ISL_200999","EPI669765 | A/Great black-headed Gull/Qinghai/YO1/2015_H5N1 PB2","EPI669766 | A/Great black-headed Gull/Qinghai/YO1/2015_H5N1 PB1","EPI669764 | A/Great black-headed Gull/Qinghai/YO1/2015_H5N1 PA","EPI669768 | A/Great black-headed Gull/Qinghai/YO1/2015_H5N1 HA","EPI669761 | A/Great black-headed Gull/Qinghai/YO1/2015_H5N1 NP","EPI669767 | A/Great black-headed Gull/Qinghai/YO1/2015_H5N1 NA","EPI669763 | A/Great black-headed Gull/Qinghai/YO1/2015_H5N1 M","EPI669762 | A/Great black-headed Gull/Qinghai/YO1/2015_H5N1 NS",NA,NA,"A/Great black-headed Gull/Qinghai/YO1/2015_H5N1","A / H5N1",NA,"Egg1","Asia / China / Qing hai","Anser indicus","Yuhai Bi (Institute of Microbiology, Chinese Academy of Sciences)","Institute of Microbiology, Chinese Academy of Sciences","","Jianjun, Chen","","State Key Laboratory of Virology and Wuhan Institute of Virology, Chinese Academy of Sciences","",2015.531,"",2015.826,2015.826,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Qinghai","NW"
"27","EPI_ISL_27735","","","","EPI171528 | A/bar-headed_goose/Qinghai/2/2007","","EPI171566 | A/bar-headed_goose/Qinghai/2/2007","","",NA,NA,"A/bar-headed goose/Qinghai/2/2007","A / H5N1",NA,"Unknown","Asia / China / Qinghai Province","Anser indicus","Unknown user","Other Database Import","","Wang,C.; He,H.","","","2",2007.353,"",2012.12,2008.981,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"","","",NA,"",NA,NA,"","","","",NA,"","","","FJ602805","","FJ602841","","",NA,NA,"Qinghai","NW"
"30","EPI_ISL_27736","","","","EPI171529 | A/brown-headed_gull/Qinghai/3/2007","","EPI171567 | A/brown-headed_gull/Qinghai/3/2007","","",NA,NA,"A/brown-headed gull/Qinghai/3/2007","A / H5N1",NA,"","Asia / China / Qinghai Province","Larus brunnicephalus","Unknown user","Other Database Import","","","","","3",2007.372,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","FJ602806","","FJ602842","","",NA,NA,"Qinghai","NW"
"61","EPI_ISL_75197","EPI259003 | A/great crested-grebe/Qinghai/1/2009","EPI259004 | A/great crested-grebe/Qinghai/1/2009","EPI259005 | A/great crested-grebe/Qinghai/1/2009","EPI259006 | A/great crested-grebe/Qinghai/1/2009","EPI259007 | A/great crested-grebe/Qinghai/1/2009","EPI259008 | A/great crested-grebe/Qinghai/1/2009","EPI259009 | A/great crested-grebe/Qinghai/1/2009","EPI259010 | A/great crested-grebe/Qinghai/1/2009",NA,NA,"A/great crested-grebe/Qinghai/1/2009","A / H5N1",NA,"E1","Asia / China / Qinghai Province","Other avian","Initial import","Other Database Import","","Li,Y.; Liu,L.; Zhang,Y.; Duan,Z.; Tian,G.; Zeng,X.; Shi,J.; Zhang,L.; Chen,H.","","","",2009.367,"",2010.396,2010.346,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,0,"","","","",NA,"CY063315","CY063316","CY063317","CY063318","CY063319","CY063320","CY063321","CY063322",NA,NA,"Qinghai","NW"
"85","EPI_ISL_4541","EPI82186 | A/tree_sparrow/Henan/3/2004","EPI82194 | A/tree_sparrow/Henan/3/2004","EPI82202 | A/tree_sparrow/Henan/3/2004","EPI25084 | A/tree_sparrow/Henan/3/2004","EPI82210 | A/tree_sparrow/Henan/3/2004","EPI25086 | A/tree_sparrow/Henan/3/2004","EPI82220 | A/tree_sparrow/Henan/3/2004","EPI82230 | A/tree_sparrow/Henan/3/2004",NA,NA,"A/tree sparrow/Henan/3/2004","A / H5N1",NA,"","Asia / China / Henan Province","Other avian","Unknown user","Other Database Import","","","","","3",2004,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"DQ073401","DQ073405","DQ073409","AY741219","DQ073413","AY741220","DQ073417","DQ073421",NA,NA,"Henan","CT"
"100","EPI_ISL_219774","EPI749446 | A/Environment/Chongqing/28959/2014-PB2","EPI749447 | A/Environment/Chongqing/28959/2014-PB1","EPI749445 | A/Environment/Chongqing/28959/2014-PA","EPI749449 | A/Environment/Chongqing/28959/2014-HA","EPI749442 | A/Environment/Chongqing/28959/2014-NP","EPI749448 | A/Environment/Chongqing/28959/2014-NA","EPI749444 | A/Environment/Chongqing/28959/2014-MP","EPI749443 | A/Environment/Chongqing/28959/2014-NS",NA,NA,"A/Environment/Chongqing/28959/2014","A / H5N1",NA,"E1","Asia / China / Chongqing","Environment","Lei Yang (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Wang,Dayan;Li,Xiaodan;Zou,Shumei;Zhang,Ye;Bo,Hong;Li,Xiyan;Chen,Wenbing;Yang,Lei;Shu,Yuelong","","","",2014.205,"",2016.354,2016.354,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Chongqing","SW"
"101","EPI_ISL_219773","EPI749438 | A/Environment/Chongqing/28976/2014-PB2","EPI749439 | A/Environment/Chongqing/28976/2014-PB1","EPI749437 | A/Environment/Chongqing/28976/2014-PA","EPI749441 | A/Environment/Chongqing/28976/2014-HA","EPI749434 | A/Environment/Chongqing/28976/2014-NP","EPI749440 | A/Environment/Chongqing/28976/2014-NA","EPI749436 | A/Environment/Chongqing/28976/2014-MP","EPI749435 | A/Environment/Chongqing/28976/2014-NS",NA,NA,"A/Environment/Chongqing/28976/2014","A / H5N1",NA,"E1","Asia / China / Chongqing","Environment","Lei Yang (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Wang,Dayan;Li,Xiaodan;Zou,Shumei;Zhang,Ye;Bo,Hong;Li,Xiyan;Chen,Wenbing;Yang,Lei;Shu,Yuelong","","","",2014.214,"",2016.354,2016.354,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Chongqing","SW"
"102","EPI_ISL_219771","EPI749422 | A/Environment/Hunan/25952/2014-PB2","EPI749423 | A/Environment/Hunan/25952/2014-PB1","EPI749421 | A/Environment/Hunan/25952/2014-PA","EPI749425 | A/Environment/Hunan/25952/2014-HA","EPI749418 | A/Environment/Hunan/25952/2014-NP","EPI749424 | A/Environment/Hunan/25952/2014-NA","EPI749420 | A/Environment/Hunan/25952/2014-MP","EPI749419 | A/Environment/Hunan/25952/2014-NS",NA,NA,"A/Environment/Hunan/25952/2014","A / H5N1",NA,"E1","Asia / China / Hunan","Environment","Lei Yang (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Wang,Dayan;Li,Xiaodan;Zou,Shumei;Zhang,Ye;Bo,Hong;Li,Xiyan;Chen,Wenbing;Yang,Lei;Shu,Yuelong","","","",2014.227,"",2016.354,2016.354,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Hunan","CT"
"104","EPI_ISL_219762","EPI749350 | A/environment/Guangxi/03235/2012-PB2","EPI749351 | A/environment/Guangxi/03235/2012-PB1","EPI749349 | A/environment/Guangxi/03235/2012-PA","EPI749353 | A/environment/Guangxi/03235/2012-HA","EPI749346 | A/environment/Guangxi/03235/2012-NP","EPI749352 | A/environment/Guangxi/03235/2012-NA","EPI749348 | A/environment/Guangxi/03235/2012-MP","EPI749347 | A/environment/Guangxi/03235/2012-NS",NA,NA,"A/environment/Guangxi/03235/2012","A / H5N1",NA,"E2","Asia / China / Guangxi","Environment","Lei Yang (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Wang,Dayan;Li,Xiaodan;Zou,Shumei;Zhang,Ye;Bo,Hong;Li,Xiyan;Chen,Wenbing;Yang,Lei;Shu,Yuelong","","","",2012.601,"",2016.354,2016.354,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Guangxi","SW"
"105","EPI_ISL_219761","EPI749342 | A/environment/Chongqing/20363/2013-PB2","EPI749343 | A/environment/Chongqing/20363/2013-PB1","EPI749341 | A/environment/Chongqing/20363/2013-PA","EPI749345 | A/environment/Chongqing/20363/2013-HA","EPI749338 | A/environment/Chongqing/20363/2013-NP","EPI749344 | A/environment/Chongqing/20363/2013-NA","EPI749340 | A/environment/Chongqing/20363/2013-MP","EPI749339 | A/environment/Chongqing/20363/2013-NS",NA,NA,"A/environment/Chongqing/20363/2013","A / H5N1",NA,"E1","Asia / China / Chongqing","Environment","Lei Yang (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Wang,Dayan;Li,Xiaodan;Zou,Shumei;Zhang,Ye;Bo,Hong;Li,Xiyan;Chen,Wenbing;Yang,Lei;Shu,Yuelong","","","",2013.879,"",2016.354,2016.354,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Chongqing","SW"
